TRIAL NO	Start Object Size	Target Object Size	Distance	Index of Difficulty	Task Completion Time	Total Misses	First Touch Distance	Start Object Selection Time	Start Object Misses	Target Object Misses
1	(0.25, 2, 0)	(0.25, 2, 0)	8	5.04439	2.761	1	3.30299	2.905	1	0
2	(0.25, 2, 0)	(0.25, 2, 0)	16	6.02237	3.145	1	2.63332	3.358	1	0
3	(0.25, 2, 0)	(0.25, 2, 0)	4	4.08746	2.063	1	3.139	2.196	1	0
4	(0.25, 2, 0)	(0.25, 2, 0)	8	5.04439	4.943	1	3.78984	2.513	1	0
5	(0.25, 2, 0)	(0.25, 2, 0)	1	2.32193	1.745	1	1.143	3.126	1	0
6	(0.25, 2, 0)	(0.25, 2, 0)	16	6.02237	3.478	1	4.5504	2.756	1	0
7	(0.25, 2, 0)	(0.25, 2, 0)	4	4.08746	2.178	0	2.77682	2.333	0	0
8	(0.25, 2, 0)	(0.25, 2, 0)	2	3.16992	2.863	0	2.12496	1.875	0	0
9	(0.25, 2, 0)	(0.25, 2, 0)	32	7.01123	4.081	2	0.277422	1.882	1	1
