TRIAL NO	Start Object Size	Target Object Size	Distance	Index of Difficulty	Task Completion Time	Total Misses	First Touch Distance	Start Object Selection Time	Start Object Misses	Target Object Misses
1	(0.25, 2, 0)	(0.25, 2, 0)	8	5.04439	3.892	0	5.30584	2.205	0	0
2	(0.25, 2, 0)	(0.25, 2, 0)	16	6.02237	2.73	0	4.42881	1.912	0	0
3	(0.25, 2, 0)	(0.25, 2, 0)	4	4.08746	1.827	1	4.9859	2.502	1	0
4	(0.25, 2, 0)	(0.25, 2, 0)	8	5.04439	2.795	0	0.815386	0.518	0	0
5	(0.25, 2, 0)	(0.25, 2, 0)	1	2.32193	1.913	1	2.91461	1.935	1	0
6	(0.25, 2, 0)	(0.25, 2, 0)	16	6.02237	3.429	0	1.21817	1.266	0	0
7	(0.25, 2, 0)	(0.25, 2, 0)	4	4.08746	2.277	0	1.5244	1.88	0	0
8	(0.25, 2, 0)	(0.25, 2, 0)	2	3.16992	2.694	0	3.76025	2.044	0	0
9	(0.25, 2, 0)	(0.25, 2, 0)	32	7.01123	4.395	1	2.11926	1.63	0	1
